d1,d2,d3,d4,d5,d6,d7,d8,c1,c2,c3,c4,c5,c6,c7,h
4029.439186,0.0,2788.98275,0.0,0.0,0.0,0.0,5589.792219,0,0,0,0,2,0,0,2
0.0,4029.439186,0.0,2788.98275,0.0,0.0,0.0,0.0,0,0,0,2,0,0,2,0
0.0,0.0,4029.439186,0.0,2788.98275,0.0,0.0,0.0,0,0,2,0,0,2,0,0
0.0,0.0,0.0,4029.439186,0.0,2788.98275,0.0,0.0,0,2,0,0,2,0,0,0
0.0,0.0,0.0,0.0,4029.439186,0.0,2788.98275,0.0,2,0,0,2,0,0,0,0
0.0,0.0,0.0,0.0,0.0,4029.439186,0.0,2788.98275,0,0,2,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,4029.439186,0.0,0,2,0,0,0,0,0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4029.439186,2,0,0,0,0,0,2,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,2,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,2,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2,0,0,0,0
4253.529065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,0,0,0,0,2
0.0,4253.529065,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,2,2
0.0,0.0,4253.529065,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,2,2,0
0.0,0.0,0.0,4253.529065,0.0,0.0,0.0,0.0,0,0,0,0,2,2,0,0
0.0,0.0,0.0,0.0,4253.529065,0.0,0.0,0.0,0,0,0,2,2,0,0,0
0.0,0.0,0.0,0.0,0.0,4253.529065,0.0,0.0,0,0,2,2,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,4253.529065,0.0,0,2,2,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4253.529065,2,2,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0
8268.258838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0
0.0,8268.258838,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0
3674.530847,0.0,8268.258838,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,2
0.0,3674.530847,0.0,8268.258838,0.0,0.0,0.0,0.0,0,0,2,0,0,0,2,0
0.0,0.0,3674.530847,0.0,8268.258838,0.0,0.0,0.0,0,2,0,0,0,2,0,0
5601.53083,0.0,0.0,3674.530847,0.0,8268.258838,0.0,0.0,2,0,0,0,2,0,0,2
0.0,5601.53083,0.0,0.0,3674.530847,0.0,8268.258838,0.0,0,0,0,2,0,0,2,0
0.0,0.0,5601.53083,0.0,0.0,3674.530847,0.0,8268.258838,0,0,2,0,0,2,0,0
0.0,0.0,0.0,5601.53083,0.0,0.0,3674.530847,0.0,0,2,0,0,2,0,0,0
7366.071753,0.0,0.0,0.0,5601.53083,0.0,0.0,3674.530847,2,0,0,2,0,0,0,2
0.0,7366.071753,0.0,0.0,0.0,5601.53083,0.0,0.0,0,0,2,0,0,0,2,0
392.8730323,0.0,7366.071753,0.0,0.0,0.0,5601.53083,0.0,0,2,0,0,0,2,0,2
0.0,392.8730323,0.0,7366.071753,0.0,0.0,0.0,5601.53083,2,0,0,0,2,0,2,0
0.0,0.0,392.8730323,0.0,7366.071753,0.0,0.0,0.0,0,0,0,2,0,2,0,0
0.0,0.0,0.0,392.8730323,0.0,7366.071753,0.0,0.0,0,0,2,0,2,0,0,0
0.0,0.0,0.0,0.0,392.8730323,0.0,7366.071753,0.0,0,2,0,2,0,0,0,2
97.37997016,0.0,0.0,0.0,0.0,392.8730323,0.0,7366.071753,2,0,2,0,0,0,2,2
0.0,97.37997016,0.0,0.0,0.0,0.0,392.8730323,0.0,0,2,0,0,0,2,2,0
0.0,0.0,97.37997016,0.0,0.0,0.0,0.0,392.8730323,2,0,0,0,2,2,0,0
3257.4608,0.0,0.0,97.37997016,0.0,0.0,0.0,0.0,0,0,0,2,2,0,0,2
8185.983776,3257.4608,0.0,0.0,97.37997016,0.0,0.0,0.0,0,0,2,2,0,0,2,2
3833.628009,8185.983776,3257.4608,0.0,0.0,97.37997016,0.0,0.0,0,2,2,0,0,2,2,2
0.0,3833.628009,8185.983776,3257.4608,0.0,0.0,97.37997016,0.0,2,2,0,0,2,2,2,0
